"Definition";"Name"
"Add-Content";"ac"
"Add-LocalGroupMember";"algm"
"Add-PSSnapIn";"asnp"
"Clear-Content";"clc"
"Clear-History";"clhy"
"Clear-Host";"cls"
"Clear-Host";"clear"
"Clear-Item";"cli"
"Clear-ItemProperty";"clp"
"Clear-Variable";"clv"
"Compare-Object";"compare"
"Compare-Object";"diff"
"Connect-PSSession";"cnsn"
"ConvertFrom-String";"CFS"
"Convert-Path";"cvpa"
"Copy-Item";"copy"
"Copy-Item";"cp"
"Copy-Item";"cpi"
"Copy-ItemProperty";"cpp"
"Disable-LocalUser";"dlu"
"Disable-PSBreakpoint";"dbp"
"Disconnect-PSSession";"dnsn"
"Enable-LocalUser";"elu"
"Enable-PSBreakpoint";"ebp"
"Enter-PSSession";"etsn"
"Exit-PSSession";"exsn"
"Export-Alias";"epal"
"Export-Csv";"epcsv"
"Export-PSSession";"epsn"
"ForEach-Object";"foreach"
"ForEach-Object";"%"
"Format-Custom";"fc"
"Format-Hex";"fhx"
"Format-List";"fl"
"Format-Table";"ft"
"Format-Wide";"fw"
"Get-Alias";"gal"
"Get-ChildItem";"gci"
"Get-ChildItem";"ls"
"Get-ChildItem";"dir"
"Get-Clipboard";"gcb"
"Get-Command";"gcm"
"Get-ComputerInfo";"gin"
"Get-Content";"type"
"Get-Content";"cat"
"Get-Content";"gc"
"Get-History";"ghy"
"Get-History";"h"
"Get-History";"history"
"Get-Item";"gi"
"Get-ItemProperty";"gp"
"Get-ItemPropertyValue";"gpv"
"Get-Job";"gjb"
"Get-LocalGroup";"glg"
"Get-LocalGroupMember";"glgm"
"Get-LocalUser";"glu"
"Get-Location";"gl"
"Get-Location";"pwd"
"Get-Member";"gm"
"Get-Module";"gmo"
"Get-Process";"ps"
"Get-Process";"gps"
"Get-PSBreakpoint";"gbp"
"Get-PSCallStack";"gcs"
"Get-PSDrive";"gdr"
"Get-PSSession";"gsn"
"Get-PSSnapIn";"gsnp"
"Get-Service";"gsv"
"Get-TimeZone";"gtz"
"Get-Unique";"gu"
"Get-Variable";"gv"
"Get-WmiObject";"gwmi"
"Group-Object";"group"
"help";"man"
"Import-Alias";"ipal"
"Import-Csv";"ipcsv"
"Import-Module";"ipmo"
"Import-PSSession";"ipsn"
"Invoke-Command";"icm"
"Invoke-Expression";"iex"
"Invoke-History";"ihy"
"Invoke-History";"r"
"Invoke-Item";"ii"
"Invoke-RestMethod";"irm"
"Invoke-WebRequest";"curl"
"Invoke-WebRequest";"wget"
"Invoke-WebRequest";"iwr"
"Invoke-WMIMethod";"iwmi"
"Measure-Object";"measure"
"mkdir";"md"
"Move-Item";"mi"
"Move-Item";"move"
"Move-Item";"mv"
"Move-ItemProperty";"mp"
"New-Alias";"nal"
"New-Item";"ni"
"New-LocalGroup";"nlg"
"New-LocalUser";"nlu"
"New-Module";"nmo"
"New-PSDrive";"mount"
"New-PSDrive";"ndr"
"New-PSSession";"nsn"
"New-PSSessionConfigurationFile";"npssc"
"New-Variable";"nv"
"Out-GridView";"ogv"
"Out-Host";"oh"
"Out-Printer";"lp"
"Pop-Location";"popd"
"powershell_ise.exe";"ise"
"Push-Location";"pushd"
"Receive-Job";"rcjb"
"Receive-PSSession";"rcsn"
"Remove-Item";"erase"
"Remove-Item";"rmdir"
"Remove-Item";"del"
"Remove-Item";"rm"
"Remove-Item";"rd"
"Remove-Item";"ri"
"Remove-ItemProperty";"rp"
"Remove-Job";"rjb"
"Remove-LocalGroup";"rlg"
"Remove-LocalGroupMember";"rlgm"
"Remove-LocalUser";"rlu"
"Remove-Module";"rmo"
"Remove-PSBreakpoint";"rbp"
"Remove-PSDrive";"rdr"
"Remove-PSSession";"rsn"
"Remove-PSSnapin";"rsnp"
"Remove-Variable";"rv"
"Remove-WMIObject";"rwmi"
"Rename-Item";"rni"
"Rename-Item";"ren"
"Rename-ItemProperty";"rnp"
"Rename-LocalGroup";"rnlg"
"Rename-LocalUser";"rnlu"
"Resolve-Path";"rvpa"
"Resume-Job";"rujb"
"Select-Object";"select"
"Select-String";"sls"
"Set-Alias";"sal"
"Set-Clipboard";"scb"
"Set-Content";"sc"
"Set-Item";"si"
"Set-ItemProperty";"sp"
"Set-LocalGroup";"slg"
"Set-LocalUser";"slu"
"Set-Location";"sl"
"Set-Location";"cd"
"Set-Location";"chdir"
"Set-PSBreakpoint";"sbp"
"Set-TimeZone";"stz"
"Set-Variable";"sv"
"Set-Variable";"set"
"Set-WMIInstance";"swmi"
"Show-Command";"shcm"
"Sort-Object";"sort"
"Start-Job";"sajb"
"Start-Process";"saps"
"Start-Process";"start"
"Start-Service";"sasv"
"Start-Sleep";"sleep"
"Stop-Job";"spjb"
"Stop-Process";"kill"
"Stop-Process";"spps"
"Stop-Service";"spsv"
"Suspend-Job";"sujb"
"Tee-Object";"tee"
"Trace-Command";"trcm"
"Wait-Job";"wjb"
"Where-Object";"?"
"Where-Object";"where"
"Write-Output";"echo"
"Write-Output";"write"
